headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
JPMorgan Chief Addresses the E.S.G. Backlash,2023-11-29T16:36:58Z,"Mr. Dimon has called the Texas laws bad for business, highlighting the work the bank does to fund schools, hospitals and other businesses.",https://www.nytimes.com/2023/11/29/business/dealbook/jamie-dimon-esg-texas.html,370,"Mr. Dimon has called the Texas laws bad for business, highlighting the work the bank does to fund schools, hospitals and other businesses.",Business,Business,DealBook,News,By Lauren Hirsch,
Is Shoplifting Really Surging?,2023-11-29T11:43:48Z,Claims that the U.S. is in the middle of a retail theft wave are exaggerated.,https://www.nytimes.com/2023/11/29/briefing/shoplifting-data.html,1887,Claims that the U.S. is in the middle of a retail theft wave are exaggerated.,NYTNow,Briefing,,briefing,By German Lopez,
Wednesday Briefing,2023-11-29T05:20:05Z,President Biden’s solidarity with Israel.,https://www.nytimes.com/2023/11/29/briefing/biden-israel-climate-dubai.html,1219,President Biden’s solidarity with Israel.,NYTNow,Briefing,,briefing,By Natasha Frost,
Bidenomics and the Guys in the Bar,2023-11-28T20:56:28Z,"Yes, workers are better off than they were a few years ago.",https://www.nytimes.com/2023/11/28/opinion/economy-voter-sentiment-inflation.html,879,"Yes, workers are better off than they were a few years ago.",OpEd,Opinion,,Op-Ed,By Paul Krugman,
The T Predictor: What We’ll Be Obsessing Over in 2024,2023-11-28T10:00:45Z,"We asked 46 artists, filmmakers, chefs and other creative people to forecast next year’s cultural trends. (Spoiler: We’re all going to be wearing a lot of brown.)",https://www.nytimes.com/2023/11/28/t-magazine/2024-trends-culture.html,3753,"We asked 46 artists, filmmakers, chefs and other creative people to forecast next year’s cultural trends. (Spoiler: We’re all going to be wearing a lot of brown.)",TStyle,T Magazine,,News,"By Kate Guadagnino, Jameson Montgomery, Juan A. Ramírez, John Wogan and Carmen Winant",
"Should Biden Bow Out, as David Axelrod Urged?",2023-11-26T16:04:28Z,Readers respond to a column by Maureen Dowd. Also: Speaker Mike Johnson’s lament; drive-through downsides; New Orleans drinking water.,https://www.nytimes.com/2023/11/26/opinion/biden-david-axelrod-2024-election.html,1111,Readers respond to a column by Maureen Dowd. Also: Speaker Mike Johnson’s lament; drive-through downsides; New Orleans drinking water.,Letters,Opinion,,Letter,,
A Crossword Anniversary,2023-11-26T12:57:28Z,"A chat with Will Shortz, who has been editing The Times’s puzzle for 30 years.",https://www.nytimes.com/2023/11/26/briefing/a-crossword-anniversary.html,2341,"A chat with Will Shortz, who has been editing The Times’s puzzle for 30 years.",NYTNow,Briefing,,briefing,By David Leonhardt,
A Troubling Trump Pardon and a Link to the Kushners,2023-11-26T08:02:11Z,A commutation for a drug smuggler named Jonathan Braun had broader implications than previously known. It puts new focus on how Donald Trump would use his clemency powers in a second term.,https://www.nytimes.com/2023/11/26/us/politics/trump-pardon-braun.html,3681,A commutation for a drug smuggler named Jonathan Braun had broader implications than previously known. It puts new focus on how Donald Trump would use his clemency powers in a second term.,Washington,U.S.,Politics,News,"By Michael S. Schmidt, Maggie Haberman, Jonathan Swan and Alan Feuer",
This Quiet Blockbuster at the Supreme Court Could Affect All Americans,2023-11-22T10:00:36Z,This term largely revolves around a single question: Will our government retain the capacity to address the most pressing issues of our time?,https://www.nytimes.com/2023/11/22/opinion/blockbuster-supreme-court-administrative.html,1875,This term largely revolves around a single question: Will our government retain the capacity to address the most pressing issues of our time?,OpEd,Opinion,,Op-Ed,By Kate Shaw,
Eat the Rich? How About Dine With Them Instead.,2023-11-22T02:13:30Z,"In “Flight of the WASP,” the inveterate dirt-digger Michael Gross gives America’s elite families the white-glove treatment.",https://www.nytimes.com/2023/11/21/books/review/flight-of-the-wasp-michael-gross.html,906,"In “Flight of the WASP,” the inveterate dirt-digger Michael Gross gives America’s elite families the white-glove treatment.",BookReview,Books,Book Review,Review,By Alexandra Jacobs,
